date,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rmsle_improvement_abs,rmsle_improvement_pct,mae_improvement_abs,mae_improvement_pct,wape_improvement_pp,absolute_error_reduction,absolute_error_reduction_pct,abs_total_bias_pct_lightgbm,abs_total_bias_pct_baseline,abs_total_bias_improvement_pp
2017-07-31,1782.0,885856.8408705001,822685.5227228568,0.4071108652838634,61.63875376666375,0.12399323925100435,-35.44967348352584,-0.07131097851608509,109840.2592121948,0.05653856794589267,1782.0,885856.8408705001,843632.5,0.4724085327844137,68.2273708948356,0.1372469786598064,-23.694883413065348,-0.047664971271213205,121581.17493459703,0.043860060717252965,0.06529766750055027,0.13822287907392483,6.588617128171855,0.09656853315258808,1.3253739408802048,11740.915722402235,0.096568533152588,0.07131097851608509,0.047664971271213205,-2.3646007244871883
2017-08-01,1782.0,988527.763204,932465.5619616037,0.39992780914306103,79.57764158991763,0.14345308507432258,-31.460270057461457,-0.056712824190884,141807.35731323322,0.07299313534205115,1782.0,988527.763204,843632.5,0.4670989187861641,106.27117777596405,0.191573009728091,-81.31044027810462,-0.14657682727530869,189375.23879676792,0.06831657513129501,0.06717110964310308,0.1438048921578723,26.693536186046416,0.2511832158510606,4.811992465376841,47567.8814835347,0.25118321585106057,0.056712824190884,0.14657682727530869,8.98640030844247
2017-08-02,1782.0,964712.016051,900616.5248582561,0.39874639268339146,66.33724820711215,0.122537062188748,-35.968289109283866,-0.06644002575516322,118212.97630507385,0.060848294066740374,1782.0,964712.016051,843632.5,0.47417158912285073,95.57625352796708,0.17654686678830944,-67.94582346946265,-0.12550845644758618,170316.88378683734,0.06144132813391915,0.07542519643945927,0.15906730426212384,29.23900532085493,0.3059233255287533,5.400980459956144,52103.90748176348,0.3059233255287533,0.06644002575516322,0.12550845644758618,5.906843069242296
2017-08-03,1782.0,728068.4851320001,738391.6380942378,0.4005909496246901,58.07686264526574,0.14214729980394647,5.793015130324241,0.01417882132388426,103492.96923386355,0.053271398983564484,1782.0,728068.4851320001,843632.5,0.5054342951664605,101.04135197867441,0.24730597863105336,64.85077076117707,0.1587268467567965,180055.6892259978,0.06495457430961098,0.10484334554177044,0.2074321955284834,42.96448933340867,0.4252168888484061,10.515867882710689,76562.71999213425,0.4252168888484061,0.01417882132388426,0.1587268467567965,14.454802543291223
2017-08-04,1782.0,827775.686128,821862.0358392582,0.41833715777700564,63.909937611736524,0.13758257307222227,-3.318546738912374,-0.007144025111927928,113887.50882411448,0.05862182684220911,1782.0,827775.686128,843632.5,0.5123286828020647,82.84027397804591,0.17833498942133813,8.898357183174832,0.019155930933622528,147621.3682288778,0.05325398588363295,0.09399152502505903,0.18345942396001305,18.93033636630939,0.22851610040940054,4.0752416349115865,33733.85940476332,0.22851610040940049,0.007144025111927928,0.019155930933622528,1.2011905821694602
2017-08-05,1782.0,965693.650492,976254.0942088226,0.3856334464770067,67.29664937133806,0.1241828908356459,5.92617492526524,0.01093560438286223,119922.62917972443,0.06172831133828184,1782.0,965693.650492,843632.5,0.4942726812869744,93.35148108809994,0.17226202037700175,-68.4966845474649,-0.1263973833004002,166352.3392989941,0.06001113006216508,0.10863923480996768,0.21979615488174595,26.054831716761882,0.2791046420803198,4.807912954135585,46429.71011926967,0.2791046420803198,0.01093560438286223,0.1263973833004002,11.546177891753798
2017-08-06,1782.0,1049559.1642770001,1050121.897234394,0.41028119221367365,68.28121336264465,0.11593164668906619,0.3157872937115726,0.0005361612537407615,121677.12221223276,0.06263140938484994,1782.0,1049559.1642770001,843632.5,0.5430427843310697,146.96068787468283,0.24951804024605542,-115.55926242905862,-0.19620300721098927,261883.9457926848,0.09447388355573806,0.13276159211739602,0.24447722343080988,78.67947451203818,0.5353776962389438,13.358639355698923,140206.82358045204,0.5353776962389438,0.0005361612537407615,0.19620300721098927,19.56668459572485
2017-08-07,1782.0,797464.9638169999,775794.7372598241,0.41518786563148147,52.7765350310572,0.11793343869954111,-12.160620963622888,-0.02717389169481894,94047.78542534393,0.04840963727297173,1782.0,797464.9638169999,843632.5,0.5247489341162016,69.95846367035514,0.15632784876700975,25.907741196081677,0.05789287088177892,124665.98226057287,0.04497289612693797,0.10956106848472014,0.2087875960515218,17.181928639297944,0.24560185770029674,3.8394410067468647,30618.19683522894,0.24560185770029677,0.02717389169481894,0.05789287088177892,3.071897918695998
2017-08-08,1782.0,717766.3491055,701573.8696641633,0.42208695962188847,49.595408391805115,0.1231306230284229,-9.086688799852261,-0.02255954108397003,88379.01775419671,0.045491727132888474,1782.0,717766.3491055,843632.5,0.5435868243633978,111.72602688764334,0.27738243811777885,70.63199187593577,0.17535811068791088,199095.77991378042,0.07182323250507075,0.12149986474150931,0.22351510245635464,62.13061849583823,0.5560979856405306,15.425181508935596,110716.76215958371,0.5560979856405306,0.02255954108397003,0.17535811068791088,15.279856960394083
2017-08-09,1782.0,734139.67401,731109.3427641349,0.39835424937809005,48.70188356939703,0.11821559247250729,-1.7005225846605692,-0.004127731211300553,86786.75652066551,0.04467213538587974,1782.0,734139.67401,843632.5,0.521608811636171,103.12300480390081,0.25031366791116666,61.44381852885383,0.14914440652952451,183765.19456055126,0.06629276773710507,0.12325456225808096,0.23629693269839283,54.42112123450378,0.527730173669699,13.209807543865937,96978.43803988575,0.527730173669699,0.004127731211300553,0.14914440652952451,14.501667531822395
2017-08-10,1782.0,651386.9119697,649912.0452565632,0.40453691722670554,55.188316891713356,0.15097874841183156,-0.8276468648354429,-0.0022641945762726483,98345.5807010332,0.05062186065950501,1782.0,651386.9119697,843632.5,0.5421933518376041,130.50021786430267,0.35700961127847275,107.88195659860693,0.29513271528434165,232551.38823418735,0.08389224740852953,0.13765643461089855,0.25388809018840375,75.31190097258931,0.5771017259978867,20.60308628666412,134205.80753315415,0.5771017259978867,0.0022641945762726483,0.29513271528434165,29.2868520708069
2017-08-11,1782.0,826373.722022,875394.0445100609,0.4208031809354864,90.9156681766571,0.19605139463339546,27.508598478148702,0.05931979827252528,162011.72069080296,0.08339301767863078,1782.0,826373.722022,843632.5,0.5507255516543492,92.80445476627517,0.20012439164794693,9.685093494061476,0.02088495497626742,165377.53839350236,0.05965947342679286,0.1299223707188628,0.2359112816330805,1.8887865896180642,0.020352326775421592,0.4072997014551466,3365.8177026993944,0.020352326775421616,0.05931979827252528,0.02088495497626742,-3.8434843296257863
2017-08-12,1782.0,792630.5350784999,902083.8085205292,0.4346333022399096,110.57233656687161,0.24858984740305384,61.42159003480873,0.13808864104786137,197039.90376216522,0.10142323103396768,1782.0,792630.5350784999,843632.5,0.5382646256043331,88.04469177167222,0.19794296812143553,28.620664169426238,0.06434519320713399,156895.6407371199,0.05659965313465815,0.10363132336442349,0.1925285787600701,-22.527644795199393,-0.25586601919875773,-5.064687928161832,-40144.26302504534,-0.2558660191987579,0.13808864104786137,0.06434519320713399,-7.374344784072738
2017-08-13,1782.0,865639.677471,968631.1618095005,0.42790990831666204,95.50150726611798,0.19659875855670167,57.795445756734374,0.11897731471759031,170183.68594822224,0.08759940990923813,1782.0,865639.677471,843632.5,0.5451769254346197,83.36993125509406,0.1716247780261375,-12.349673873503058,-0.025423023047297034,148565.21749657762,0.05359447680429988,0.11726701711795767,0.2150990103340698,-12.131576011023924,-0.14551500557082037,-2.4973980530564184,-21618.468451644614,-0.14551500557082025,0.11897731471759031,0.025423023047297034,-9.355429167029328
2017-08-14,1782.0,760922.4060808,747618.3932609432,0.45873261237050234,58.36221296339406,0.13667814572110867,-7.4657759931855665,-0.017484059758971066,104001.46350076821,0.05353313851209151,1782.0,760922.4060808,843632.5,0.5618328857232542,79.29699500758004,0.18570519671161143,46.41422701886507,0.10869714606671377,141307.24510350762,0.05097618404626855,0.10310027335275185,0.18350701066568867,20.93478204418598,0.2640047336243298,4.902705099050275,37305.781602739415,0.2640047336243298,0.017484059758971066,0.10869714606671377,9.121308630774271
2017-08-15,1782.0,762661.935939,713556.6551002648,0.45680651148677553,63.47502307363136,0.14831275272437114,-27.556274320277943,-0.0643866941887903,113112.49111721109,0.05822289851123734,1782.0,762661.935939,843632.5,0.5354722802671389,102.47707524367323,0.23944311296903603,45.4380598706047,0.10616835618170445,182614.1480842257,0.06587753101672318,0.07866576878036335,0.14690913363641944,39.002052170041864,0.38059294800619115,9.113036024466489,69501.6569670146,0.38059294800619115,0.0643866941887903,0.10616835618170445,4.178166199291415
