model,granularity,rows,rmsle,mae,wape,bias,total_bias_pct,actual_total_sales,predicted_total_sales,rmsle_improvement_vs_best_baseline_pct,wape_improvement_vs_best_baseline_pct,mae_improvement_vs_best_baseline_pct,operational_relevance,business_comment
lightgbm_v1,date_store_family,28512,0.41670386640526996,68.13794990533272,0.1458610259452829,-0.3896060810390852,-0.0008340189684872201,13319179.781647999,13308071.333065413,20.108619295191545,29.9158779052822,29.91587790528221,candidate_final_model,Main candidate because it predicts at store-family-date level and improves the operational benchmark.
baseline_rolling_mean_28_origin,date_store_family,28512,0.521588014538081,97.22309114929791,0.20812278385702485,6.2759945428830255,0.013434848041711873,13319179.781647999,13498120.93805468,0.0,0.0,0.0,benchmark,Baseline benchmark used to define the minimum acceptable performance.
