iteration,train_rmse_log,valid_rmse_log,rmse_log_gap,rmse_log_gap_pct_vs_train
1,2.5717304022578378,2.4981601795644557,-0.07357022269338209,-0.028607284273962575
2,2.4542048359516104,2.3806970272748114,-0.07350780867679907,-0.029951782182148882
3,2.3438318135136784,2.269347253941239,-0.07448455957243949,-0.0317789694392698
4,2.238693062996202,2.1641571986228847,-0.07453586437331738,-0.03329436518356864
5,2.1395426482332702,2.06507180626508,-0.0744708419681901,-0.03480689764688004
6,2.045825668127158,1.9704216933058385,-0.07540397482131933,-0.03685747813025905
7,1.95809412989196,1.8803711726553751,-0.07772295723658496,-0.039693166967858386
8,1.8747008927329174,1.7953832783269008,-0.07931761440601659,-0.04230947705497077
9,1.7950122647442381,1.7149719220293198,-0.08004034271491833,-0.04459041550132409
10,1.720834529738299,1.6390683329264941,-0.08176619681180486,-0.04751543242466183
11,1.6506197675364034,1.567526346080596,-0.08309342145580745,-0.050340740544884376
12,1.5843025522067775,1.4997131357082052,-0.08458941649857232,-0.053392211216694435
13,1.5219413602093785,1.4357048083815553,-0.0862365518278232,-0.05666220399973843
14,1.4628110489384016,1.3753951781373013,-0.08741587080110036,-0.05975882590204677
15,1.4064310350960632,1.317738675168815,-0.08869235992724822,-0.06306200426044373
16,1.3538125217485162,1.2636361822428883,-0.09017633950562787,-0.0666091781963729
17,1.3047524600022118,1.2127241691846795,-0.09202829081753228,-0.07053314221563244
18,1.2580625537247485,1.1645257302185386,-0.09353682350620995,-0.07434989876240675
19,1.2153932427277134,1.1192233577250703,-0.09616988500264312,-0.079126558896122
20,1.1754037134911526,1.0764725123080647,-0.09893120118308785,-0.084167848074297
21,1.1380959668395678,1.036122819406451,-0.10197314743311692,-0.08959977928424695
22,1.1018691238053717,0.9987066779491383,-0.10316244585623346,-0.09362495384202774
23,1.0671107239470412,0.9635446230069447,-0.10356610094009655,-0.09705281618483327
24,1.0347937572711408,0.9303359849173767,-0.10445777235376408,-0.10094549915843147
25,1.0048521283993004,0.8990209271774974,-0.105831201221803,-0.1053201742134825
26,0.9764850980809692,0.8696702345798916,-0.1068148635010776,-0.10938709019829879
27,0.9503940958030206,0.8424967073887776,-0.10789738841424301,-0.11352910218058206
28,0.9269352133252043,0.8158486367328094,-0.11108657659239496,-0.1198428703489351
29,0.904231509097009,0.7918797595396728,-0.11235174955733618,-0.12425108882738868
30,0.8828182699536877,0.7705070926941012,-0.1123111772595865,-0.12721890912551945
31,0.8621673048973068,0.7492547305265952,-0.11291257437071156,-0.13096364676477804
32,0.8429057968207346,0.7301856066838627,-0.11272019013687196,-0.13372809934636715
33,0.8256442949483709,0.7119537908409012,-0.11369050410746973,-0.13769913363790517
