store_nbr,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,city,state,store_type,cluster,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline,better_model_by_store_rmsle,sales_volume_segment
17,528.0,220880.25901999997,220662.14102089405,0.5646485687635501,75.85155067483679,0.18131823520130635,-0.4131022710339907,-0.0009874943105991564,40049.61875631382,0.01444778528665877,528.0,220880.25901999997,228242.73831265798,0.4094170757431662,42.0239919576943,0.10045563986618415,13.944089569427987,0.03333244593846372,22188.66775366259,0.011421272203989934,Quito,Pichincha,C,12,-0.15523149302038386,-0.0808625953351222,lightgbm_v1,regular_volume_store
18,528.0,162414.1110065,166268.71716833115,0.58647547248683,73.14749947457594,0.23779879397936304,7.300390458013539,0.023733197429359355,38621.87972257609,0.013932732518482982,528.0,162414.1110065,74287.96787735053,0.7794693718554827,171.60515465437598,0.557879614622182,-166.90557410823766,-0.5426015177069347,90607.52165751052,0.04663881491526331,Quito,Pichincha,B,16,0.19299389936865274,0.320080820642819,baseline_rolling_mean_28_origin,regular_volume_store
19,528.0,150509.45497000002,146131.1345334053,0.6331573371987601,48.19233361098214,0.16906281503491227,-8.29227355415662,-0.029090002601281202,25445.55214659857,0.00917941007507289,528.0,150509.45497000002,147791.0897240349,0.4895392901457122,37.57801367610238,0.13182687575964486,-5.148419026449095,-0.018061092882882122,19841.191220982055,0.010212945107929952,Guaranda,Bolivar,C,15,-0.14361804705304793,-0.037235939275267416,lightgbm_v1,regular_volume_store
20,528.0,288872.733076,250589.5788745284,0.7143810902839747,137.2624494808985,0.25088755367868854,-72.50597386642347,-0.13252602207837877,72474.57332591442,0.026144994800729373,528.0,288872.733076,253374.32234835994,0.44133332764363603,97.9609684808729,0.17905252187402854,-67.23183849931831,-0.12288598632914491,51723.391357900895,0.02662381259526384,Quito,Pichincha,B,6,-0.27304776264033864,-0.07183503180466,lightgbm_v1,high_volume_store
21,528.0,235963.32706699998,217056.82869148254,0.4752081003291764,110.57128623764068,0.24741827409857323,-35.80776207484367,-0.08012473213750321,58381.63913347428,0.02106100914507847,528.0,235963.32706699998,223314.67395651154,0.42400344387012084,64.71787730332771,0.14481504240891818,-23.95578240622813,-0.05360431753404183,34171.039216157034,0.017589011864694897,Santo Domingo,Santo Domingo de los Tsachilas,B,6,-0.05120465645905553,-0.10260323168965504,lightgbm_v1,regular_volume_store
22,528.0,121737.91597999999,110325.66560041904,0.5681019601939792,48.77127571768273,0.21153010031128744,-21.614110567388174,-0.09374442044379859,25751.23357893648,0.009289683776488342,528.0,121737.91597999999,110777.90234571815,0.4781227556807149,49.55349551564088,0.21492273316521077,-20.757601580079264,-0.09002958154863137,26164.245632258386,0.013467639188420914,Puyo,Pastaza,C,7,-0.0899792045132643,0.0033926328539233275,lightgbm_v1,regular_volume_store
23,528.0,120386.4850015,128978.82140827179,0.4546355859834054,37.9523206711794,0.16645411080930758,16.273364406764752,0.07137293199203161,20038.825314382724,0.007228948852189054,528.0,120386.4850015,127772.37404091515,0.40149618690662653,35.067979298884836,0.15380375188776788,13.988426211013541,0.061351480104457956,18515.893069811194,0.009530768462445301,Ambato,Tungurahua,D,9,-0.05313939907677889,-0.012650358921539706,lightgbm_v1,regular_volume_store
24,528.0,268779.943814,282545.4111329317,0.3651512037757208,73.23504125488542,0.14386527965545837,26.070960831310053,0.05121463723668918,38668.1017825795,0.013949406994275115,528.0,268779.943814,282717.2512514726,0.3427724750080773,46.96292294024047,0.0922554821635296,26.3964156012739,0.05185397109509579,24796.42331244697,0.012763573887398932,Guayaquil,Guayas,D,1,-0.02237872876764352,-0.05160979749192876,lightgbm_v1,regular_volume_store
25,528.0,154921.53711499998,125560.62169468403,0.5120126130624569,81.7749763078731,0.27870358308222887,-55.607794356659035,-0.18952119871184225,43177.187490557,0.015576046751931494,528.0,154921.53711499998,102871.9019469939,0.5361645892297348,100.90232326279362,0.34389296462510144,-98.57885448486006,-0.33597417206988506,53276.42668275503,0.02742321341483955,Salinas,Santa Elena,D,1,0.024151976167277822,0.06518938154287257,baseline_rolling_mean_28_origin,regular_volume_store
26,528.0,74602.87700100002,80547.88237607479,0.5709163559768531,47.916712113561175,0.3391293340553229,11.25947987703559,0.0796886878101911,25300.023995960302,0.009126911211441267,528.0,74602.87700100002,72859.6925282702,0.4804071543423134,31.053130600304954,0.219777756784651,-3.30148574380645,-0.02336618295171712,16396.052956961015,0.008439613678994989,Guayaquil,Guayas,D,10,-0.09050920163453968,-0.11935157727067192,lightgbm_v1,regular_volume_store
27,528.0,236019.9930215,244558.35422086716,0.44104343838034415,90.48646125338465,0.20242713733761916,16.171138635165068,0.03617643187791027,47776.851541787095,0.017235362387550593,528.0,236019.9930215,246078.24515412794,0.3457765345419143,43.9038852619998,0.09821732100561592,19.049719948158952,0.04261610215246338,23181.251418335894,0.011932189233589262,Daule,Guayas,D,1,-0.09526690383842984,-0.10420981633200324,lightgbm_v1,regular_volume_store
28,528.0,260467.96499,232912.2889559865,0.4792921025846928,141.45038769040372,0.286737006999692,-52.1887803674498,-0.1057929562857046,74685.80470053316,0.026942690187394657,528.0,260467.96499,240695.4808090123,0.38983805589634174,85.85219010894626,0.1740327505505867,-37.44788670641607,-0.07591138580802752,45329.956377523624,0.023332891209623344,Guayaquil,Guayas,E,10,-0.08945404668835105,-0.11270425644910531,lightgbm_v1,regular_volume_store
29,528.0,213341.061994,195845.3192486763,0.44421750727810805,91.63112768079645,0.22677882524472107,-33.13587641159792,-0.08200832311323049,48381.23541546053,0.017453392139361305,528.0,213341.061994,200137.78312178684,0.37267517611035234,49.80291115658561,0.12325773971921425,-25.00620998525225,-0.061888127624416166,26295.937090677202,0.013535425321876062,Guayaquil,Guayas,E,10,-0.07154233116775571,-0.10352108552550682,lightgbm_v1,regular_volume_store
30,528.0,105535.49100400001,106874.35261821747,0.4931355216540113,60.81334278628104,0.3042525759409162,2.5357227541997505,0.012686363624979128,32109.44499115639,0.011583390337089612,528.0,105535.49100400001,98712.0772181243,0.42841405027310236,44.19068031751613,0.22108846024854484,-12.923132170219164,-0.06465515743530388,23332.679207648518,0.012010134336927087,Guayaquil,Guayas,C,3,-0.06472147138090895,-0.08316411569237137,lightgbm_v1,regular_volume_store
31,528.0,236023.381114,223035.16046237946,0.4427636628745291,98.99983576391865,0.2214692164675904,-24.59890274928133,-0.055029381370260026,52271.91328334905,0.01885694303947935,528.0,236023.381114,226875.07354726683,0.3836420649064226,55.17975784266214,0.12344078795673791,-17.32634008850979,-0.03876017504517698,29134.91214092561,0.01499674364838401,Babahoyo,Los Rios,B,10,-0.05912159796810651,-0.0980284285108525,lightgbm_v1,regular_volume_store
32,528.0,83639.456997,80388.79162961245,0.5288626908740609,63.11365594452457,0.3984245179868186,-6.1565631958097615,-0.0388652136694784,33324.01033870897,0.012021541308384173,528.0,83639.456997,71106.09733088635,0.4255219558108374,39.00576232399958,0.24623596621162291,-23.737423610063768,-0.14984984499078233,20595.04250707178,0.010600978352437724,Guayaquil,Guayas,C,3,-0.1033407350632235,-0.1521885517751957,lightgbm_v1,regular_volume_store
33,528.0,164523.799015,155469.09211301804,0.44798372750819243,66.11374524436738,0.2121763398245097,-17.14906610223857,-0.05503584865042183,34908.057489025974,0.012592981782037016,528.0,164523.799015,160562.56547695264,0.3973394281389087,45.987088909838995,0.14758462356063892,-7.502336246301835,-0.024076963708370227,24281.18294439499,0.012498361908052664,Quevedo,Los Rios,C,3,-0.05064429936928372,-0.06459171626387078,lightgbm_v1,regular_volume_store
34,528.0,181220.10701600002,165810.23985767365,0.4691868640841457,51.58628216781997,0.15030096512526683,-29.18535446652719,-0.0850339811186947,27237.556984608942,0.00982587068908675,528.0,181220.10701600002,173555.2259040344,0.44226506652320924,41.78543651908548,0.12174537828812343,-14.516820287813664,-0.0422959749785872,22062.710482077135,0.011356437654172859,Guayaquil,Guayas,B,6,-0.02692179756093649,-0.028555586837143404,lightgbm_v1,regular_volume_store
35,528.0,91229.164987,82636.47214400768,0.4713810846051876,38.01483029933966,0.220015500535509,-16.274039475364237,-0.09418800275346988,20071.830398051337,0.007240855341614429,528.0,91229.164987,88045.28560205486,0.42033662098364505,27.249283804899246,0.15770857763563895,-6.030074592699128,-0.03489979750882111,14387.621848986802,0.0074058049509631695,Playas,Guayas,C,3,-0.051044463621542524,-0.062306922899870054,lightgbm_v1,regular_volume_store
36,528.0,213441.46892500002,179143.81857699156,0.48196018972943655,94.04305730740408,0.2326386456596082,-64.95767111365237,-0.1606887851772615,49654.734258309356,0.01791280320033146,528.0,213441.46892500002,182970.33828950295,0.44315236080421283,78.12462327899665,0.19326048166303036,-57.71047468844142,-0.14276106132967137,41249.80109131023,0.02123269462838879,Libertad,Guayas,E,10,-0.03880782892522372,-0.03937816399657784,lightgbm_v1,regular_volume_store
37,528.0,196512.910975,225632.01728016138,0.4039469976659606,85.13358256642228,0.22874085662895444,55.14982254765413,0.14817910009417065,44950.53159507096,0.016215775559770412,528.0,196512.910975,218580.33062036475,0.3609033000295201,58.963392181097014,0.15842557579120012,41.79435538894841,0.11229501174186016,31132.671071619225,0.016025059038866942,Cuenca,Azuay,D,2,-0.0430436976364405,-0.07031528083775432,lightgbm_v1,regular_volume_store
