family,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct,mean_absolute_error,total_absolute_error,error_contribution_pct
LAWN AND GARDEN,864.0,12908.0,12459.872983564348,0.42388252492928535,4.468166399255789,0.29907776332173863,-0.5186655282820041,-0.03471699848432383,4.468166399255789,3860.495768957002,0.001987130255367915
HOME APPLIANCES,864.0,173.0,309.1234534037339,0.36151853940080425,0.418893366987425,2.0920454859950013,0.15755029329135867,0.7868407711198491,0.418893366987425,361.92386907713524,0.0001862946920357062
EGGS,864.0,172529.0,169606.82266155165,0.32760340673473615,37.09153431017214,0.1857489792671883,-3.3821496972782046,-0.016937311051755666,37.09153431017214,32047.085643988732,0.016495739741930034
FROZEN FOODS,864.0,110014.157977,104993.48156016154,0.30782671058765954,24.743570936366268,0.1943244913394685,-5.8109680750445305,-0.04563663903956886,24.743570936366268,21378.445289020456,0.01100422277059446
PREPARED FOODS,864.0,75871.65404200001,73986.98582807583,0.3040313492974623,15.768716777102826,0.17956866062093435,-2.181328951301123,-0.02484021519922164,15.768716777102826,13624.171295416842,0.007012830632567239
CLEANING,864.0,1065243.0,1083779.3844473215,0.3003434953015788,248.89843503858336,0.20187717532369237,21.45414866588133,0.017401085430574552,248.89843503858336,215048.24787333602,0.11069274655063724
MEATS,864.0,321070.52664299996,316533.15949083905,0.29831455669908413,53.31362106465317,0.14346682357137688,-5.251582352038181,-0.01413199523357692,53.31362106465317,46062.96859986034,0.023710197869631237
BABY CARE,864.0,160.0,146.96930313721694,0.29207315765436576,0.26355787286592425,1.4232125134759908,-0.015081825072665566,-0.08144185539239412,0.26355787286592425,227.71400215615853,0.0001172122469072591
BEVERAGES,864.0,3005407.0,2992293.865424772,0.2824898595596386,552.5161797010484,0.15883838004693068,-15.177239091699398,-0.004363180951940355,552.5161797010484,477373.97926170577,0.2457208436657858
POULTRY,864.0,323560.26891,336278.55970916396,0.271224487795764,53.339996900722696,0.1424333014602711,14.720243980513905,0.03930733165109849,53.339996900722696,46085.75732222441,0.02372192801062892
HOME CARE,864.0,251893.0,279027.5672517198,0.2471502998610866,56.37520988777523,0.19336853879638496,31.405749133934986,0.10772259352868013,56.37520988777523,48708.181343037795,0.02507178005711096
GROCERY I,864.0,3980412.484,3897033.7463443736,0.2350485658773267,551.5564355737425,0.11972245646682922,-96.50316858290044,-0.020947260614517408,551.5564355737425,476544.76033571357,0.2452940160988674
BREAD/BAKERY,864.0,466795.50089,470157.3399796918,0.2316341112421819,68.84399440618782,0.12742455969163888,3.891017464921031,0.007201952639393519,68.84399440618782,59481.211166946276,0.030617029886734034
PERSONAL CARE,864.0,277631.0,273320.33035201934,0.22592278665413534,47.68676080773283,0.14840331712914323,-4.98920098145907,-0.015526614996094298,47.68676080773283,41201.361337881164,0.021207761017432533
DELI,864.0,261902.894004,282916.1201934527,0.21059237937630837,43.13758359605897,0.14230798162324132,24.32086364519987,0.08023289039765921,43.13758359605897,37270.87222699495,0.019184602776089275
PRODUCE,864.0,1977480.37616,2021245.342319468,0.20139054176494128,257.27413641064254,0.11240812123275899,50.6538960179026,0.022131681652615795,257.27413641064254,222284.85385879513,0.1144176771192744
DAIRY,864.0,721034.0,761418.1834907787,0.19844197347607223,95.8415860270111,0.1148449730905028,46.74095311432713,0.056008709007867405,95.8415860270111,82807.1303273376,0.04262368459429836
BOOKS,864.0,9.0,55.450112702308246,0.11678101975657695,0.07163432808937419,6.876895496579922,0.05376170451656047,5.161123633589805,0.07163432808937419,61.8920594692193,3.1857976617221816e-05
