store_nbr,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct,mean_absolute_error,total_absolute_error,error_contribution_pct
18,528.0,162414.1110065,74287.96787735053,0.7794693718554827,171.60515465437598,0.557879614622182,-166.90557410823766,-0.5426015177069347,171.60515465437598,90607.52165751052,0.04663881491526331
25,528.0,154921.53711499998,102871.9019469939,0.5361645892297348,100.90232326279362,0.34389296462510144,-98.57885448486006,-0.33597417206988506,100.90232326279362,53276.42668275503,0.02742321341483955
19,528.0,150509.45497000002,147791.0897240349,0.4895392901457122,37.57801367610238,0.13182687575964486,-5.148419026449095,-0.018061092882882122,37.57801367610238,19841.191220982055,0.010212945107929952
26,528.0,74602.87700100002,72859.6925282702,0.4804071543423134,31.053130600304954,0.219777756784651,-3.30148574380645,-0.02336618295171712,31.053130600304954,16396.052956961015,0.008439613678994989
22,528.0,121737.91597999999,110777.90234571815,0.4781227556807149,49.55349551564088,0.21492273316521077,-20.757601580079264,-0.09002958154863137,49.55349551564088,26164.245632258386,0.013467639188420914
50,528.0,326493.240014,346519.29147945007,0.47160603731952266,87.36849043852142,0.14129102014351427,37.928127775473556,0.06133680276072905,87.36849043852142,46130.56295153931,0.023744991012624252
14,528.0,136648.141012,111743.16431369755,0.4616696562570084,58.648563261969834,0.22661443597392736,-47.16851647405767,-0.18225624230127935,58.648563261969834,30966.441402320073,0.015939494897634018
47,528.0,581797.17102,599958.0826154123,0.45112590428779403,130.3536427261332,0.11830020286749095,34.395665900402,0.031215194057359886,130.3536427261332,68826.72335939833,0.03542748718055164
48,528.0,403740.960073,400043.24560295616,0.4439408625335648,95.0741213745975,0.12433500944940296,-7.00324710235573,-0.009158630992939771,95.0741213745975,50199.136085787475,0.025839225860970136
36,528.0,213441.46892500002,182970.33828950295,0.44315236080421283,78.12462327899665,0.19326048166303036,-57.71047468844142,-0.14276106132967137,78.12462327899665,41249.80109131023,0.02123269462838879
34,528.0,181220.10701600002,173555.2259040344,0.44226506652320924,41.78543651908548,0.12174537828812343,-14.516820287813664,-0.0422959749785872,41.78543651908548,22062.710482077135,0.011356437654172859
20,528.0,288872.733076,253374.32234835994,0.44133332764363603,97.9609684808729,0.17905252187402854,-67.23183849931831,-0.12288598632914491,97.9609684808729,51723.391357900895,0.02662381259526384
43,528.0,264231.62201,257523.7836686596,0.4396614430764528,59.537520175510025,0.11897066071629984,-12.704239282841638,-0.025386205823186944,59.537520175510025,31435.810652669294,0.016181095431381083
9,528.0,303853.3809465,294036.24646209716,0.4335300629346452,69.37328645125402,0.12054858541367183,-18.593057735611474,-0.032308788053707245,69.37328645125402,36629.09524626212,0.01885425804009247
38,528.0,197783.47701099998,210376.16982891416,0.4331641928527559,85.24784640388202,0.22757645674692217,23.849797003625284,0.06366908403179616,85.24784640388202,45010.86290124971,0.023168642797257975
30,528.0,105535.49100400001,98712.0772181243,0.42841405027310236,44.19068031751613,0.22108846024854484,-12.923132170219164,-0.06465515743530388,44.19068031751613,23332.679207648518,0.012010134336927087
32,528.0,83639.456997,71106.09733088635,0.4255219558108374,39.00576232399958,0.24623596621162291,-23.737423610063768,-0.14984984499078233,39.00576232399958,20595.04250707178,0.010600978352437724
54,528.0,176572.478994,157138.87027739116,0.42481561849881727,70.02748195388867,0.20940132166864817,-36.806077114789424,-0.11006023604204594,70.02748195388867,36974.510471653215,0.019032055164119578
21,528.0,235963.32706699998,223314.67395651154,0.42400344387012084,64.71787730332771,0.14481504240891818,-23.95578240622813,-0.05360431753404183,64.71787730332771,34171.039216157034,0.017589011864694897
35,528.0,91229.164987,88045.28560205486,0.42033662098364505,27.249283804899246,0.15770857763563895,-6.030074592699128,-0.03489979750882111,27.249283804899246,14387.621848986802,0.0074058049509631695
16,528.0,104594.092001,100927.53853275746,0.41904029140725463,30.988117596226477,0.15643069104372692,-6.944230053489644,-0.035055072405117106,30.988117596226477,16361.72609080758,0.008421944457633846
39,528.0,261722.187096,266038.1984533083,0.4142963561351576,102.3279116281179,0.2064369778471563,8.174263934296132,0.01649081189943285,102.3279116281179,54029.13733964625,0.02781065953817788
17,528.0,220880.25901999997,228242.73831265798,0.4094170757431662,42.0239919576943,0.10045563986618415,13.944089569427987,0.03333244593846372,42.0239919576943,22188.66775366259,0.011421272203989934
12,528.0,123828.406029,107233.48040137891,0.4090401852135629,45.19996931947555,0.19273109108013461,-31.42978338564599,-0.1340154990264079,45.19996931947555,23865.58380068309,0.01228443870181171
40,528.0,287750.831,252945.4817892059,0.4076930181605017,102.69146400431818,0.18843070863027325,-65.91922199014037,-0.12095655498139678,102.69146400431818,54221.09299428,0.027909465730915847
44,528.0,656651.352984,706031.2357317798,0.40670267104555724,147.94110105213696,0.11895643098969085,93.52250520412859,0.07519954466458402,147.94110105213696,78112.90135552832,0.04020740311809121
10,528.0,114855.501021,103635.552194364,0.4055153101221527,33.399368492834554,0.15353959024559313,-21.24990308075,-0.09768751802827938,33.399368492834554,17634.866564216645,0.00907727374833997
13,528.0,114921.912025,108624.23729088064,0.40256348763403704,33.21911406569199,0.15262269760069605,-11.927414269165446,-0.05479959933793448,33.21911406569199,17539.69222668537,0.009028284235862381
15,528.0,125263.497994,128304.5345276935,0.4016289125189162,31.04279219479284,0.1308489267929889,5.75953888957102,0.024277116497570222,31.04279219479284,16390.594278850618,0.008436803909194253
23,528.0,120386.4850015,127772.37404091515,0.40149618690662653,35.067979298884836,0.15380375188776788,13.988426211013541,0.061351480104457956,35.067979298884836,18515.893069811194,0.009530768462445301
1,528.0,155135.629205,163862.72402250406,0.3976096439120061,43.45335691466563,0.14789234793140602,16.528588669515262,0.05625461321958387,43.45335691466563,22943.372450943454,0.011809744728657475
