store_nbr,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct
50,528,326493.240014,346601.5,0.9147333160086372,116.46243341539179,0.18834131095850587,38.08387320412819,0.061588671945910556
47,528,581797.17102,606709.25,0.8815382959795962,215.3196889208095,0.19540967439025106,47.1818900881075,0.04281911155196109
48,528,403740.960073,402595.84,0.857406669680973,189.54081605270676,0.24787564496238937,-2.168742288253601,-0.0028362144083445423
44,528,656651.352984,723267.6,0.7903544468493438,268.9446319422627,0.2162529095846921,126.16712560213284,0.10144842010178469
20,528,288872.733076,250589.58,0.7143810902839747,137.2624494808985,0.25088755367868854,-72.50597386642347,-0.13252602207837877
9,528,303853.3809465,276694.9,0.6901733840667481,114.38340038822683,0.19876176864267808,-51.43644496095395,-0.08938009132821043
19,528,150509.45497000002,146131.12,0.6331573371987601,48.19233361098214,0.16906281503491227,-8.29227355415662,-0.029090002601281063
18,528,162414.1110065,166268.72,0.58647547248683,73.14749947457594,0.23779879397936304,7.300390458013539,0.023733197429359344
14,528,136648.141012,129410.195,0.5729196180573045,65.6185599358108,0.25354607380326927,-13.708219001778893,-0.052967713862303055
26,528,74602.87700100002,80547.88,0.5709163559768531,47.916712113561175,0.3391293340553229,11.25947987703559,0.07968868781019131
22,528,121737.91597999999,110325.67,0.5681019601939792,48.77127571768273,0.21153010031128744,-21.614110567388174,-0.09374442044379866
17,528,220880.25901999997,220662.12,0.5646485687635501,75.85155067483679,0.18131823520130635,-0.4131022710339907,-0.0009874943105992883
32,528,83639.456997,80388.8,0.5288626908740609,63.11365594452457,0.3984245179868186,-6.1565631958097615,-0.038865213669478385
11,528,340283.811002,316439.0,0.5287692551567962,104.84857084257561,0.16268786117643,-45.160639575003046,-0.07007332386864992
13,528,114921.912025,104504.3,0.5156710403219599,44.52699723921689,0.20457590835411893,-19.730331990463988,-0.09064951241586329
12,528,123828.406029,123395.625,0.5128796736529622,41.48043088994733,0.1768711090794702,-0.8196735583285576,-0.0034950594348773386
25,528,154921.53711499998,125560.62,0.5120126130624569,81.7749763078731,0.27870358308222887,-55.607794356659035,-0.18952119871184234
1,528,155135.629205,168685.22,0.49986126523938573,76.72332932636903,0.26112581675736174,25.662085597240416,0.08734022780439556
15,528,125263.497994,121633.07,0.49626805553798253,41.259347762705545,0.17391287939086617,-6.875818191254759,-0.028982361686533828
30,528,105535.49100400001,106874.34,0.4931355216540113,60.81334278628104,0.3042525759409162,2.5357227541997505,0.012686363624979229
49,528,518238.7970230001,547290.44,0.49292310309002746,154.9155140037144,0.15783340009245012,55.0220497770937,0.056058408689568115
10,528,114855.501021,99893.29,0.49246416968763307,43.13655081299193,0.19830220256577344,-28.33753328832911,-0.13026992563031092
46,528,456761.59108299995,484009.5,0.48451542178699586,197.8869222423893,0.22875017729981437,51.60592162979766,0.05965459257624365
