family,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rmsle_improvement_abs,rmsle_improvement_pct,mae_improvement_abs,mae_improvement_pct,wape_improvement_pp,absolute_error_reduction,absolute_error_reduction_pct,abs_total_bias_pct_lightgbm,abs_total_bias_pct_baseline,abs_total_bias_improvement_pp
BEAUTY,864.0,5757.0,4912.164228827021,0.4801832391898073,2.3940017527764734,0.35928739176634933,-0.9778191795983557,-0.14674930887145712,2068.417514398873,0.0010646857993333238,864.0,5757.0,4672.57177734375,0.5531427463573083,2.8069609898245997,0.42126355657607334,-1.2551256346481818,-0.188366896414148,2425.214295208454,0.0008748891125407611,0.07295950716750099,0.13189996189586123,0.4129592370481263,0.14711969227400312,6.1976164809724015,356.7967808095809,0.14711969227400304,0.14674930887145712,0.188366896414148,4.161758754269088
PET SUPPLIES,864.0,7283.0,6560.5098583821045,0.47056665974377654,2.6634455883414754,0.3159710268195846,-0.836215441687379,-0.0992022712642998,2301.216988327035,0.0011845157138733848,864.0,7283.0,7370.28515625,0.4911703596971841,3.0058697080929524,0.35659363281509143,0.10102512356307772,0.011984780481944254,2597.0714277923107,0.000936886081017795,0.02060369995340755,0.0419481744910465,0.342424119751477,0.1139184838349913,4.062260599550682,295.85443946527585,0.11391848383499119,0.0992022712642998,0.011984780481944254,-8.721749078235556
"LIQUOR,WINE,BEER",864.0,84091.0,77472.1130623447,0.469401821384207,26.888571436929286,0.2762688720731934,-7.660748770434372,-0.07871100281427626,23231.725721506904,0.011958170097434847,864.0,84091.0,80656.5703125,0.6936931836701367,45.031167365886546,0.4626764886150239,-3.975033265573007,-0.04084182240073254,38906.92860412598,0.014035563086281726,0.22429136228592966,0.32332934439295885,18.14259592895726,0.4028897537020375,18.640761654183052,15675.202882619073,0.4028897537020375,0.07871100281427626,0.04084182240073254,-3.7869180413543724
PLAYERS AND ELECTRONICS,864.0,10084.0,8949.149444156192,0.4676889587744345,3.512661747226877,0.30096586172193784,-1.313484439634038,-0.11253972192025072,3034.9397496040215,0.0015621881127682814,864.0,10084.0,9857.142578125,0.4835839094545644,3.6916335906695434,0.31630022038263444,-0.26256611612108016,-0.022496769325168583,3189.5714223384857,0.0011506287574621268,0.015894950680129916,0.032869064436113836,0.1789718434426666,0.048480391958457304,1.53343586606966,154.63167273446425,0.048480391958457394,0.11253972192025072,0.022496769325168583,-9.004295259508213
HOME AND KITCHEN II,864.0,26789.0,23459.725931927387,0.46230638846920974,10.387292018713438,0.33501139662430146,-3.8533264676766374,-0.1242776538158428,8974.620304168411,0.004619546453141283,864.0,26789.0,25828.0,0.4849088651193761,11.374090660501409,0.36683766959099695,-1.1122683595727991,-0.03587293292022845,9827.214330673218,0.003545139430151488,0.022602476650166348,0.04661180332226348,0.9867986417879706,0.08675846458783802,3.182627296669549,852.5940265048066,0.08675846458783801,0.1242776538158428,0.03587293292022845,-8.840472089561436
LAWN AND GARDEN,864.0,12908.0,12459.872983564348,0.42388252492928535,4.468166399255789,0.29907776332173863,-0.5186655282820041,-0.03471699848432383,3860.495768957002,0.001987130255367915,864.0,12908.0,14062.28515625,0.49676563284385394,5.309771809037085,0.355410818330341,1.33597884244389,0.08942401272466688,4587.642843008041,0.0016549790191750014,0.07288310791456859,0.14671527798195655,0.8416054097812955,0.1585012388571777,5.633305500860236,727.1470740510395,0.15850123885717773,0.03471699848432383,0.08942401272466688,5.470701424034305
HOME APPLIANCES,864.0,173.0,309.1234534037339,0.36151853940080425,0.418893366987425,2.0920454859950013,0.15755029329135867,0.7868407711198491,361.92386907713524,0.0001862946920357062,864.0,173.0,322.85711669921875,0.36746750510207543,0.42948082046307345,2.144921554220205,0.17344576699866188,0.8662261080879696,371.0714288800955,0.00013386295542771185,0.0059489657012711805,0.016189093235927546,0.010587453475648434,0.02465174920787583,5.287606822520363,9.147559802960245,0.024651749207875828,0.7868407711198491,0.8662261080879696,7.938533696812056
EGGS,864.0,172529.0,169606.82266155165,0.32760340673473615,37.09153431017214,0.1857489792671883,-3.3821496972782046,-0.016937311051755666,32047.085643988732,0.016495739741930034,864.0,172529.0,170869.71875,0.39585587243914977,54.249586520371615,0.27167399540715514,-1.9204691427725333,-0.00961740490004579,46871.642753601074,0.01690881090922356,0.06825246570441362,0.1724174641741743,17.15805221019947,0.3162798707001451,8.592501613996683,14824.557109612342,0.3162798707001451,0.016937311051755666,0.00961740490004579,-0.7319906151709876
FROZEN FOODS,864.0,110014.157977,104993.48156016154,0.30782671058765954,24.743570936366268,0.1943244913394685,-5.8109680750445305,-0.04563663903956886,21378.445289020456,0.01100422277059446,864.0,110014.157977,112347.4375,0.3748878759898182,34.35891929923983,0.2698389627337739,2.700561891120064,0.021208902253179174,29686.106274543214,0.01070917783415649,0.06706116540215867,0.17888326002833985,9.615348362873561,0.27985013961385846,7.55144713943054,8307.660985522758,0.27985013961385846,0.04563663903956886,0.021208902253179174,-2.442773678638969
PREPARED FOODS,864.0,75871.65404200001,73986.98582807583,0.3040313492974623,15.768716777102826,0.17956866062093435,-2.181328951301123,-0.02484021519922164,13624.171295416842,0.007012830632567239,864.0,75871.65404200001,76339.8125,0.2955718068889129,16.470517299441727,0.18756052080847094,0.5418455989888509,0.006170400051392499,14230.526946717651,0.005133621847767918,-0.008459542408549403,-0.028620938165894897,0.7018005223389014,0.04260950093915321,0.7991860187536587,606.3556513008098,0.04260950093915314,0.02484021519922164,0.006170400051392499,-1.8669815147829145
CLEANING,864.0,1065243.0,1083779.3844473215,0.3003434953015788,248.89843503858336,0.20187717532369237,21.45414866588133,0.017401085430574552,215048.24787333602,0.11069274655063724,864.0,1065243.0,1140946.75,0.3670241195468812,346.8018349541558,0.28128491377121523,87.62020421911168,0.0710671180190811,299636.7854003906,0.10809311234122583,0.06668062424530241,0.18167913413326797,97.90339991557246,0.28230358103068987,7.940773844752286,84588.5375270546,0.28230358103068987,0.017401085430574552,0.0710671180190811,5.366603258850654
MEATS,864.0,321070.52664299996,316533.15949083905,0.29831455669908413,53.31362106465317,0.14346682357137688,-5.251582352038181,-0.01413199523357692,46062.96859986034,0.023710197869631237,864.0,321070.52664299996,324616.90625,0.3032548558326079,87.91020487457615,0.23656614578045002,4.104605320194952,0.011045484754018788,75954.41701163379,0.02740033844602894,0.0049402991335237845,0.01629091517746629,34.59658380992298,0.3935445703861441,9.309932220907314,29891.448411773454,0.3935445703861441,0.01413199523357692,0.011045484754018788,-0.30865104795581316
BABY CARE,864.0,160.0,146.96930313721694,0.29207315765436576,0.26355787286592425,1.4232125134759908,-0.015081825072665566,-0.08144185539239412,227.71400215615853,0.0001172122469072591,864.0,160.0,168.0,0.30604725338583394,0.2634755283921819,1.4227678533177823,0.009259258086482683,0.05,227.64285653084517,8.212150865183498e-05,0.013974095731468184,0.0456599285792349,-8.234447374233511e-05,-0.00031253177190621593,-0.0444660158208432,-0.07114562531336333,-0.0003125317719061535,0.08144185539239412,0.05,-3.144185539239412
BEVERAGES,864.0,3005407.0,2992293.865424772,0.2824898595596386,552.5161797010484,0.15883838004693068,-15.177239091699398,-0.004363180951940355,477373.97926170577,0.2457208436657858,864.0,3005407.0,3108517.0,0.2769479078901874,738.2934143631546,0.21224596535835766,119.34044958043981,0.03430816525016412,637885.5100097656,0.23011537118912048,-0.005541951669451206,-0.020010808933962572,185.77723466210625,0.25163062685904636,5.340758531142697,160511.53074805986,0.2516306268590464,0.004363180951940355,0.03430816525016412,2.9944984298223765
POULTRY,864.0,323560.26891,336278.55970916396,0.271224487795764,53.339996900722696,0.1424333014602711,14.720243980513905,0.03930733165109849,46085.75732222441,0.02372192801062892,864.0,323560.26891,338349.4375,0.2897407884371426,80.01628143760908,0.21366673786924145,17.117071023062245,0.04570761620337787,69134.06716209424,0.02493991676747031,0.018516300641378602,0.06390643423473527,26.676284536886385,0.33338570672878154,7.123343640897034,23048.309839869835,0.3333857067287815,0.03930733165109849,0.04570761620337787,0.640028455227938
HOME CARE,864.0,251893.0,279027.5672517198,0.2471502998610866,56.37520988777523,0.19336853879638496,31.405749133934986,0.10772259352868013,48708.181343037795,0.02507178005711096,864.0,251893.0,277210.28125,0.302182002357781,73.32729911804199,0.2515146766205821,29.302414929425275,0.10050807783463614,63354.78643798828,0.02285505779487284,0.05503170249669437,0.1821144279517259,16.952089230266765,0.23118387604836446,5.814613782419712,14646.605094950486,0.2311838760483645,0.10772259352868013,0.10050807783463614,-0.7214515694043994
GROCERY I,864.0,3980412.484,3897033.7463443736,0.2350485658773267,551.5564355737425,0.11972245646682922,-96.50316858290044,-0.020947260614517408,476544.76033571357,0.2452940160988674,864.0,3980412.484,3902811.75,0.22163838061180283,775.4987261940286,0.16833202642312903,-89.81539082392939,-0.019495651345665957,670030.8994316406,0.24171172837666713,-0.013410185265523872,-0.060504797176855675,223.94229062028603,0.28877196448709064,4.860956995629981,193486.13909592706,0.2887719644870905,0.020947260614517408,0.019495651345665957,-0.1451609268851451
BREAD/BAKERY,864.0,466795.50089,470157.3399796918,0.2316341112421819,68.84399440618782,0.12742455969163888,3.891017464921031,0.007201952639393519,59481.211166946276,0.030617029886734034,864.0,466795.50089,466484.40625,0.23240015050453233,87.47273496416445,0.16190482312906354,-0.36006394716616374,-0.0006664473830765006,75576.44300903808,0.027263985406898422,0.0007660392623504431,0.003296208116420749,18.628740557976627,0.21296625246264897,3.448026343742466,16095.231842091802,0.21296625246264894,0.007201952639393519,0.0006664473830765006,-0.6535505256317018
PERSONAL CARE,864.0,277631.0,273320.33035201934,0.22592278665413534,47.68676080773283,0.14840331712914323,-4.98920098145907,-0.015526614996094298,41201.361337881164,0.021207761017432533,864.0,277631.0,263021.6875,0.28691012370321434,69.42724911371867,0.21606068210773627,-16.90889471548575,-0.05262133011083056,59985.14323425293,0.021639468657896538,0.06098733704907899,0.21256599893339956,21.740488305985842,0.3131405692075731,6.7657364978593035,18783.781896371765,0.3131405692075731,0.015526614996094298,0.05262133011083056,3.7094715114736263
DELI,864.0,261902.894004,282916.1201934527,0.21059237937630837,43.13758359605897,0.14230798162324132,24.32086364519987,0.08023289039765921,37270.87222699495,0.019184602776089275,864.0,261902.894004,272391.46875,0.23955168409077437,56.34729502839153,0.185885929552908,12.139542660074868,0.040047571012483,48684.06290453028,0.017562636288914864,0.028959304714466005,0.12088958933593774,13.209711432332561,0.2344338166663835,4.3577947929666685,11413.190677535327,0.23443381666638338,0.08023289039765921,0.040047571012483,-4.018531938517621
PRODUCE,864.0,1977480.37616,2021245.342319468,0.20139054176494128,257.27413641064254,0.11240812123275899,50.6538960179026,0.022131681652615795,222284.85385879513,0.1144176771192744,864.0,1977480.37616,2031502.0,0.2824571380363188,475.9721269634897,0.20796156697899956,62.524775540002885,0.027318412102224104,411239.9176964551,0.14835362274815486,0.0810665962713775,0.28700494820192446,218.69799055284716,0.4594764654561858,9.555344574624057,188955.06383765995,0.4594764654561858,0.022131681652615795,0.027318412102224104,0.518673044960831
DAIRY,864.0,721034.0,761418.1834907787,0.19844197347607223,95.8415860270111,0.1148449730905028,46.74095311432713,0.056008709007867405,82807.1303273376,0.04262368459429836,864.0,721034.0,752379.4375,0.21679260015367818,133.887155674122,0.16043418549255847,36.279439290364586,0.04347289794933387,115678.5025024414,0.04173068853930133,0.018350626677605952,0.0846460011301018,38.045569647110895,0.28416146011580723,4.558921240205567,32871.37217510381,0.28416146011580723,0.056008709007867405,0.04347289794933387,-1.2535811058533533
BOOKS,864.0,9.0,55.450112702308246,0.11678101975657695,0.07163432808937419,6.876895496579922,0.05376170451656047,5.161123633589805,61.8920594692193,3.1857976617221816e-05,864.0,9.0,20.000001907348633,0.08198801085238981,0.03141534454361708,3.0158730761872397,0.012731482171350054,1.222222434149848,27.142857685685158,9.791708188165757e-06,-0.03479300890418714,-0.4243670329656862,-0.040218983545757106,-1.2802337243163782,-386.1022420392683,-34.74920178353414,-1.2802337243163782,5.161123633589805,1.222222434149848,-393.8901199439957
