store_nbr,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rmsle_improvement_abs,rmsle_improvement_pct,mae_improvement_abs,mae_improvement_pct,wape_improvement_pp,absolute_error_reduction,absolute_error_reduction_pct,abs_total_bias_pct_lightgbm,abs_total_bias_pct_baseline,abs_total_bias_improvement_pp
18,528.0,162414.1110065,74287.96787735053,0.7794693718554827,171.60515465437598,0.557879614622182,-166.90557410823766,-0.5426015177069347,90607.52165751052,0.04663881491526331,528.0,162414.1110065,166268.71875,0.5864754668706719,73.14749947457594,0.23779879397936304,7.300390458013539,0.023733207167853404,38621.87972257609,0.013932732518482982,-0.19299390498481084,-0.32907413163348803,-98.45765517980004,-1.346015323654655,-32.0080820642819,-51985.64193493442,-1.346015323654655,0.5426015177069347,0.023733207167853404,-51.886831053908125
25,528.0,154921.53711499998,102871.9019469939,0.5361645892297348,100.90232326279362,0.34389296462510144,-98.57885448486006,-0.33597417206988506,53276.42668275503,0.02742321341483955,528.0,154921.53711499998,125560.6171875,0.5120126100449638,81.7749763078731,0.27870358308222887,-55.607794356659035,-0.18952122780517627,43177.187490557,0.015576046751931494,-0.024151979184770966,-0.04717067257904057,-19.12734695492051,-0.23390220111967155,-6.518938154287257,-10099.23919219803,-0.23390220111967155,0.33597417206988506,0.18952122780517627,-14.645294426470878
19,528.0,150509.45497000002,147791.0897240349,0.4895392901457122,37.57801367610238,0.13182687575964486,-5.148419026449095,-0.018061092882882122,19841.191220982055,0.010212945107929952,528.0,150509.45497000002,146131.125,0.6331573410074904,48.19233361098214,0.16906281503491227,-8.29227355415662,-0.029090065942187632,25445.55214659857,0.00917941007507289,0.14361805086177826,0.2268283751290806,10.61431993487976,0.2202491379761895,3.723593927526742,5604.360925616515,0.22024913797618956,0.018061092882882122,0.029090065942187632,1.102897305930551
26,528.0,74602.87700100002,72859.6925282702,0.4804071543423134,31.053130600304954,0.219777756784651,-3.30148574380645,-0.02336618295171712,16396.052956961015,0.008439613678994989,528.0,74602.87700100002,80547.8828125,0.5709163534846488,47.916712113561175,0.3391293340553229,11.25947987703559,0.07968869366016937,25300.023995960302,0.009126911211441267,0.09050919914233535,0.15853320471537172,16.86358151325622,0.3519352803942398,11.935157727067192,8903.971038999287,0.35193528039423994,0.02336618295171712,0.07968869366016937,5.632251070845225
22,528.0,121737.91597999999,110777.90234571815,0.4781227556807149,49.55349551564088,0.21492273316521077,-20.757601580079264,-0.09002958154863137,26164.245632258386,0.013467639188420914,528.0,121737.91597999999,110325.671875,0.5681019667944016,48.77127571768273,0.21153010031128744,-21.614110567388174,-0.09374436890208371,25751.23357893648,0.009289683776488342,0.08997921111368673,0.15838567083547972,-0.782219797958156,-0.01603853469993509,-0.33926328539233275,-413.0120533219051,-0.01603853469993504,0.09002958154863137,0.09374436890208371,0.3714787353452334
50,528.0,326493.240014,346519.29147945007,0.47160603731952266,87.36849043852142,0.14129102014351427,37.928127775473556,0.06133680276072905,46130.56295153931,0.023744991012624252,528.0,326493.240014,346601.5,0.9147333145736354,116.46243341539179,0.18834131095850587,38.08387320412819,0.061588595173173506,61492.164843326864,0.02218312238810396,0.4431272772541127,0.4844332989672055,29.093942976870366,0.2498139711120383,4.70502908149916,15361.601891787555,0.24981397111203832,0.06133680276072905,0.061588595173173506,0.025179241244445427
14,528.0,136648.141012,111743.16431369755,0.4616696562570084,58.648563261969834,0.22661443597392736,-47.16851647405767,-0.18225624230127935,30966.441402320073,0.015939494897634018,528.0,136648.141012,129410.1953125,0.5729196190869218,65.6185599358108,0.25354607380326927,-13.708219001778893,-0.05296775825778994,34646.5996461081,0.012498661613873247,0.1112499628299134,0.1941807526284675,6.96999667384096,0.10621989694164473,2.693163782934191,3680.158243788028,0.10621989694164474,0.18225624230127935,0.05296775825778994,-12.928848404348942
47,528.0,581797.17102,599958.0826154123,0.45112590428779403,130.3536427261332,0.11830020286749095,34.395665900402,0.031215194057359886,68826.72335939833,0.03542748718055164,528.0,581797.17102,606709.25,0.8815382980020929,215.3196889208095,0.19540967439025106,47.1818900881075,0.04281918204642423,113688.79575018742,0.04101290752583166,0.4304123937142989,0.4882514970589253,84.96604619467632,0.3946041656502914,7.710947152276011,44862.07239078909,0.3946041656502913,0.031215194057359886,0.04281918204642423,1.1603987989064344
48,528.0,403740.960073,400043.24560295616,0.4439408625335648,95.0741213745975,0.12433500944940296,-7.00324710235573,-0.009158630992939771,50199.136085787475,0.025839225860970136,528.0,403740.960073,402595.84375,0.8574066726011392,189.54081605270676,0.24787564496238937,-2.168742288253601,-0.002836264922917277,100077.55087582917,0.036102689912390316,0.41346581006757444,0.48222835590167656,94.46669467810926,0.4983976361684564,12.35406355129864,49878.414790041694,0.49839763616845645,0.009158630992939771,0.002836264922917277,-0.6322366070022494
36,528.0,213441.46892500002,182970.33828950295,0.44315236080421283,78.12462327899665,0.19326048166303036,-57.71047468844142,-0.14276106132967137,41249.80109131023,0.02123269462838879,528.0,213441.46892500002,179143.828125,0.48196018433710863,94.04305730740408,0.2326386456596082,-64.95767111365237,-0.16068874044364675,49654.734258309356,0.01791280320033146,0.0388078235328958,0.0805208081374447,15.918434028407432,0.16926750877923832,3.937816399657784,8404.933166999122,0.16926750877923827,0.14276106132967137,0.16068874044364675,1.7927679113975388
34,528.0,181220.10701600002,173555.2259040344,0.44226506652320924,41.78543651908548,0.12174537828812343,-14.516820287813664,-0.0422959749785872,22062.710482077135,0.011356437654172859,528.0,181220.10701600002,165810.25,0.46918686637121154,51.58628216781997,0.15030096512526683,-29.18535446652719,-0.08503392515180161,27237.556984608942,0.00982587068908675,0.026921799848002304,0.05737969618847408,9.800845648734487,0.18998937773515984,2.8555586837143405,5174.846502531807,0.18998937773515975,0.0422959749785872,0.08503392515180161,4.273795017321441
20,528.0,288872.733076,253374.32234835994,0.44133332764363603,97.9609684808729,0.17905252187402854,-67.23183849931831,-0.12288598632914491,51723.391357900895,0.02662381259526384,528.0,288872.733076,250589.578125,0.7143810948447686,137.2624494808985,0.25088755367868854,-72.50597386642347,-0.1325260246730453,72474.57332591442,0.026144994800729373,0.2730477672011326,0.38221583573745677,39.3014810000256,0.2863236169007374,7.1835031804659994,20751.181968013523,0.28632361690073743,0.12288598632914491,0.1325260246730453,0.9640038343900398
43,528.0,264231.62201,257523.7836686596,0.4396614430764528,59.537520175510025,0.11897066071629984,-12.704239282841638,-0.025386205823186944,31435.810652669294,0.016181095431381083,528.0,264231.62201,251170.3125,0.4593718870139139,71.05159333165305,0.141978620854445,-24.73733956548799,-0.04943128839252131,37515.24127911281,0.013533515868796418,0.01971044393746113,0.042907379608243465,11.514073156143027,0.16205228646172495,2.300796013814514,6079.4306264435145,0.16205228646172487,0.025386205823186944,0.04943128839252131,2.4045082569334366
9,528.0,303853.3809465,294036.24646209716,0.4335300629346452,69.37328645125402,0.12054858541367183,-18.593057735611474,-0.032308788053707245,36629.09524626212,0.01885425804009247,528.0,303853.3809465,276694.90625,0.6901733780111278,114.38340038822683,0.19876176864267808,-51.43644496095395,-0.08938019584281616,60394.435404983764,0.021787119636504104,0.2566433150764826,0.37185339691897634,45.010113936972814,0.3935021496493785,7.821318322900625,23765.340158721643,0.39350214964937846,0.032308788053707245,0.08938019584281616,5.707140778910891
38,528.0,197783.47701099998,210376.16982891416,0.4331641928527559,85.24784640388202,0.22757645674692217,23.849797003625284,0.06366908403179616,45010.86290124971,0.023168642797257975,528.0,197783.47701099998,218976.9375,0.4536475863855099,104.01025790565517,0.2776643276987775,40.13910654767655,0.10715485848103135,54917.41617418593,0.019811300632109882,0.02048339353275397,0.04515265626332942,18.762411501773144,0.1803900103660161,5.008787095185535,9906.553272936217,0.18039001036601604,0.06366908403179616,0.10715485848103135,4.348577444923518
30,528.0,105535.49100400001,98712.0772181243,0.42841405027310236,44.19068031751613,0.22108846024854484,-12.923132170219164,-0.06465515743530388,23332.679207648518,0.012010134336927087,528.0,105535.49100400001,106874.34375,0.49313552185815523,60.81334278628104,0.3042525759409162,2.5357227541997505,0.012686279594314337,32109.44499115639,0.011583390337089612,0.06472147158505287,0.13124479725406854,16.622662468764908,0.27333906848670775,8.316411569237136,8776.765783507872,0.27333906848670775,0.06465515743530388,0.012686279594314337,-5.196887784098955
32,528.0,83639.456997,71106.09733088635,0.4255219558108374,39.00576232399958,0.24623596621162291,-23.737423610063768,-0.14984984499078233,20595.04250707178,0.010600978352437724,528.0,83639.456997,80388.796875,0.5288626831308578,63.11365594452457,0.3984245179868186,-6.1565631958097615,-0.038865150955207615,33324.01033870897,0.012021541308384173,0.10334072732002042,0.19540181339368684,24.107893620524983,0.3819758697185164,15.218855177519568,12728.96783163719,0.3819758697185164,0.14984984499078233,0.038865150955207615,-11.09846940355747
54,528.0,176572.478994,157138.87027739116,0.42481561849881727,70.02748195388867,0.20940132166864817,-36.806077114789424,-0.11006023604204594,36974.510471653215,0.019032055164119578,528.0,176572.478994,157123.28125,0.45972599158558014,86.15376130252262,0.25762330702327446,-36.835617139235666,-0.11014852288878435,45489.185967731944,0.01641009358230337,0.03491037308676287,0.07593734904210683,16.126279348633958,0.18718021250410308,4.822198535462629,8514.67549607873,0.18718021250410308,0.11006023604204594,0.11014852288878435,0.008828684673840848
21,528.0,235963.32706699998,223314.67395651154,0.42400344387012084,64.71787730332771,0.14481504240891818,-23.95578240622813,-0.05360431753404183,34171.039216157034,0.017589011864694897,528.0,235963.32706699998,217056.828125,0.47520809727905977,110.57128623764068,0.24741827409857323,-35.80776207484367,-0.08012473453822602,58381.63913347428,0.02106100914507847,0.05120465340893893,0.10775206420539939,45.85340893431297,0.4146954466620245,10.260323168965504,24210.599917317246,0.4146954466620245,0.05360431753404183,0.08012473453822602,2.6520417004184194
35,528.0,91229.164987,88045.28560205486,0.42033662098364505,27.249283804899246,0.15770857763563895,-6.030074592699128,-0.03489979750882111,14387.621848986802,0.0074058049509631695,528.0,91229.164987,82636.4765625,0.47138108554492586,38.01483029933966,0.220015500535509,-16.274039475364237,-0.09418795432057764,20071.830398051337,0.007240855341614429,0.05104446456128081,0.10828704444573206,10.765546494440411,0.2831933329616209,6.230692289987005,5684.208549064535,0.28319333296162086,0.03489979750882111,0.09418795432057764,5.928815681175653
16,528.0,104594.092001,100927.53853275746,0.41904029140725463,30.988117596226477,0.15643069104372692,-6.944230053489644,-0.035055072405117106,16361.72609080758,0.008421944457633846,528.0,104594.092001,103334.9609375,0.47256445525704266,46.375056234064516,0.23410528475501236,-2.384718455334642,-0.012038261812033886,24486.029691586064,0.008833265096962134,0.05352416384978803,0.11326320304957037,15.386938637838039,0.33179342274383394,7.767459371128544,8124.303600778483,0.3317934227438339,0.035055072405117106,0.012038261812033886,-2.301681059308322
39,528.0,261722.187096,266038.1984533083,0.4142963561351576,102.3279116281179,0.2064369778471563,8.174263934296132,0.01649081189943285,54029.13733964625,0.02781065953817788,528.0,261722.187096,273159.875,0.48065946205280813,125.8809587975409,0.2539530445721138,21.662282659925662,0.04370163657468075,66465.1462451016,0.023977111188960197,0.06636310591765054,0.13806678356902813,23.553047169422996,0.18710571792914488,4.75160667249575,12436.008905455346,0.18710571792914493,0.01649081189943285,0.04370163657468075,2.72108246752479
17,528.0,220880.25901999997,228242.73831265798,0.4094170757431662,42.0239919576943,0.10045563986618415,13.944089569427987,0.03333244593846372,22188.66775366259,0.011421272203989934,528.0,220880.25901999997,220662.125,0.564648571342152,75.85155067483679,0.18131823520130635,-0.4131022710339907,-0.000987566842631316,40049.61875631382,0.01444778528665877,0.15523149559898575,0.27491700763539584,33.82755871714249,0.44597056244974753,8.086259533512221,17860.951002651233,0.4459705624497475,0.03333244593846372,0.000987566842631316,-3.2344879095832404
12,528.0,123828.406029,107233.48040137891,0.4090401852135629,45.19996931947555,0.19273109108013461,-31.42978338564599,-0.1340154990264079,23865.58380068309,0.01228443870181171,528.0,123828.406029,123395.625,0.5128796752712221,41.48043088994733,0.1768711090794702,-0.8196735583285576,-0.0034950060561923894,21901.667509892188,0.007900963840082185,0.10383949005765925,0.20246364803352096,-3.719538429528221,-0.08966971532664675,-1.5859982000664408,-1963.9162907909013,-0.08966971532664678,0.1340154990264079,0.0034950060561923894,-13.052049297021554
