model,granularity,rows,rmsle,mae,wape,bias,total_bias_pct,actual_total_sales,predicted_total_sales,abs_total_bias_pct,validation_start_date,validation_end_date,n_dates,business_role,rmsle_rank_within_granularity
lightgbm_v1_daily_aggregate,daily_total_sales,16,0.057395829243881404,36058.20427454231,0.04331582558766937,-694.2780364116479,-0.0008340189684873598,13319179.781648,13308071.333065413,0.0008340189684873598,2017-07-31,2017-08-15,16,daily_aggregate_view_of_operational_model,1
prophet_total_sales_v1,daily_total_sales,16,0.10700144385653945,73232.56224494817,0.08797245889973204,17720.96311438237,0.021287753035722997,13319179.781648,13602715.191478118,0.021287753035722997,2017-07-31,2017-08-15,16,interpretable_daily_aggregate_benchmark,2
lightgbm_v1,date_store_family,28512,0.41670386640526996,68.13794990533272,0.1458610259452829,-0.3896060810390852,-0.0008340189684872201,13319179.781647999,13308071.333065413,0.0008340189684872201,2017-07-31,2017-08-15,16,main_operational_forecasting_model,1
baseline_rolling_mean_28_origin,date_store_family,28512,0.521588014538081,97.22309114929791,0.20812278385702485,6.2759945428830255,0.013434848041711873,13319179.781647999,13498120.93805468,0.013434848041711873,2017-07-31,2017-08-15,16,minimum_operational_benchmark,2
