family,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rows,zero_sales_pct,promotion_rows_pct,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline,better_model_by_family_rmsle,sales_volume_segment
HOME CARE,864.0,251893.0,277210.28649902344,0.30218201537780587,73.32729911804199,0.2515146766205821,29.302414929425275,0.10050809867294223,63354.78643798828,0.02285505779487284,864.0,251893.0,279027.5672517198,0.2471502998610866,56.37520988777523,0.19336853879638496,31.405749133934986,0.10772259352868013,48708.181343037795,0.02507178005711096,864,0.0,0.9965277777777778,-0.05503171551671926,-0.058146137824197114,lightgbm_v1,regular_volume_family
LADIESWEAR,864.0,8711.0,9831.999935984612,0.5801886772919862,4.505042968680048,0.44683241016410985,1.2974536296118189,0.12868785856785805,3892.357124939561,0.001404156687290753,864.0,8711.0,8982.334332428054,0.5214056413110918,3.7724533259099893,0.3741705514391265,0.3140443662361722,0.031148471177597753,3259.3996735862306,0.0016777253734613906,864,0.3159722222222222,0.1087962962962963,-0.058783035980894405,-0.07266185872498337,lightgbm_v1,regular_volume_family
LAWN AND GARDEN,864.0,12908.0,14062.285719871521,0.49676563517562644,5.309771809037085,0.355410818330341,1.33597884244389,0.08942405638917889,4587.642843008041,0.0016549790191750014,864.0,12908.0,12459.872983564348,0.42388252492928535,4.468166399255789,0.29907776332173863,-0.5186655282820041,-0.03471699848432383,3860.495768957002,0.001987130255367915,864,0.2974537037037037,0.1087962962962963,-0.07288311024634109,-0.05633305500860236,lightgbm_v1,regular_volume_family
LINGERIE,864.0,6716.0,5418.857125282288,0.6622683571798458,4.084573425076626,0.5254722214511919,-1.501322771664019,-0.19314217908244674,3529.071439266205,0.0012731024164308634,864.0,6716.0,5583.748683695156,0.6256324228153037,3.879798244704383,0.4991283030709629,-1.3104760605380148,-0.16859013048017335,3352.145683424587,0.0017254649419635574,864,0.08680555555555555,0.20949074074074073,-0.036635934364542044,-0.02634391838022898,lightgbm_v1,regular_volume_family
"LIQUOR,WINE,BEER",864.0,84091.0,80656.57125854492,0.693693181315155,45.031167365886546,0.4626764886150239,-3.975033265573007,-0.040841811150480765,38906.92860412598,0.014035563086281726,864.0,84091.0,77472.1130623447,0.469401821384207,26.888571436929286,0.2762688720731934,-7.660748770434372,-0.07871100281427626,23231.725721506904,0.011958170097434847,864,0.0011574074074074073,0.9247685185185185,-0.224291359930948,-0.18640761654183052,lightgbm_v1,regular_volume_family
MAGAZINES,864.0,6146.0,5551.428574323654,0.544103261125747,2.9640376940369606,0.41668216199933844,-0.6881613723105855,-0.09674120170457953,2560.928567647934,0.0009238476477136235,864.0,6146.0,4390.496527965813,0.5354612464415056,2.983708537885973,0.4194474742488579,-2.0318327222617913,-0.28563349691412093,2577.9241767334806,0.0013269464426885061,864,0.1423611111111111,0.0,-0.008642014684241417,0.0027653122495194804,lightgbm_v1,regular_volume_family
MEATS,864.0,321070.52664299996,324616.90563964844,0.30325485727784335,87.91020487457615,0.23656614578045002,4.104605320194952,0.011045482853029715,75954.41701163379,0.02740033844602894,864.0,321070.52664299996,316533.15949083905,0.29831455669908413,53.31362106465317,0.14346682357137688,-5.251582352038181,-0.01413199523357692,46062.96859986034,0.023710197869631237,864,0.0,0.14930555555555555,-0.004940300578759216,-0.09309932220907313,lightgbm_v1,high_volume_family
PERSONAL CARE,864.0,277631.0,263021.7149658203,0.28691011994412985,69.42724911371867,0.21606068210773627,-16.90889471548575,-0.05262123118160324,59985.14323425293,0.021639468657896538,864.0,277631.0,273320.33035201934,0.22592278665413534,47.68676080773283,0.14840331712914323,-4.98920098145907,-0.015526614996094298,41201.361337881164,0.021207761017432533,864,0.0,0.9965277777777778,-0.060987333289994505,-0.06765736497859304,lightgbm_v1,high_volume_family
PET SUPPLIES,864.0,7283.0,7370.285706758499,0.491170356288392,3.0058697080929524,0.35659363281509143,0.10102512356307772,0.011984856070094623,2597.0714277923107,0.000936886081017795,864.0,7283.0,6560.5098583821045,0.47056665974377654,2.6634455883414754,0.3159710268195846,-0.836215441687379,-0.0992022712642998,2301.216988327035,0.0011845157138733848,864,0.11689814814814815,0.0,-0.02060369654461547,-0.04062260599550682,lightgbm_v1,regular_volume_family
PLAYERS AND ELECTRONICS,864.0,10084.0,9857.142875671387,0.4835839053850163,3.6916335906695434,0.31630022038263444,-0.26256611612108016,-0.022496739818386877,3189.5714223384857,0.0011506287574621268,864.0,10084.0,8949.149444156192,0.4676889587744345,3.512661747226877,0.30096586172193784,-1.313484439634038,-0.11253972192025072,3034.9397496040215,0.0015621881127682814,864,0.03009259259259259,0.01273148148148148,-0.015894946610581773,-0.015334358660696601,lightgbm_v1,regular_volume_family
POULTRY,864.0,323560.26891,338349.4182739258,0.2897407893736963,80.01628143760908,0.21366673786924145,17.117071023062245,0.0457075567829976,69134.06716209424,0.02493991676747031,864.0,323560.26891,336278.55970916396,0.271224487795764,53.339996900722696,0.1424333014602711,14.720243980513905,0.03930733165109849,46085.75732222441,0.02372192801062892,864,0.0,0.2835648148148148,-0.01851630157793227,-0.07123343640897034,lightgbm_v1,high_volume_family
PREPARED FOODS,864.0,75871.65404200001,76339.80863952637,0.2955718152590251,16.470517299441727,0.18756052080847094,0.5418455989888509,0.0061703491697598055,14230.526946717651,0.005133621847767918,864.0,75871.65404200001,73986.98582807583,0.3040313492974623,15.768716777102826,0.17956866062093435,-2.181328951301123,-0.02484021519922164,13624.171295416842,0.007012830632567239,864,0.0,0.19328703703703703,0.008459534038437189,-0.007991860187536587,baseline_rolling_mean_28_origin,regular_volume_family
PRODUCE,864.0,1977480.37616,2031501.7822265625,0.28245713641845216,475.9721269634897,0.20796156697899956,62.524775540002885,0.027318301975499143,411239.9176964551,0.14835362274815486,864.0,1977480.37616,2021245.342319468,0.20139054176494128,257.27413641064254,0.11240812123275899,50.6538960179026,0.022131681652615795,222284.85385879513,0.1144176771192744,864,0.0,0.9953703703703703,-0.08106659465351088,-0.09555344574624057,lightgbm_v1,high_volume_family
SCHOOL AND OFFICE SUPPLIES,864.0,51795.0,3966.2856390476227,1.6422430476375474,55.91013566949577,0.9326451823234743,-55.35730828813933,-0.9234233876040617,48306.35721844435,0.017426380044196946,864.0,51795.0,12979.737869856019,0.7613227868363454,45.87271420189689,0.7652094810394615,-44.925071909888864,-0.749401720825253,39634.02507043891,0.020400999009709524,864,0.4837962962962963,0.2881944444444444,-0.880920260801202,-0.16743570128401275,lightgbm_v1,regular_volume_family
SEAFOOD,864.0,17260.919022000002,17428.572679042816,0.5543246399243797,5.260623027158004,0.26332191754514533,0.1940435845402963,0.009712904442059567,4545.178295464515,0.0016396600552433594,864.0,17260.919022000002,16597.10995637067,0.5073922059855522,4.464713141549134,0.22348243157747497,-0.768297529663576,-0.038457341974854876,3857.5121542984516,0.0019855944860488446,864,0.08564814814814815,0.11805555555555555,-0.04693243393882751,-0.03983948596767037,lightgbm_v1,regular_volume_family
