horizon_day,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline
1,1782.0,885856.8408705001,843632.5586284176,0.47240853004887273,68.2273708948356,0.1372469786598064,-23.694883413065348,-0.04766490508849062,121581.17493459703,0.043860060717252965,1782.0,885856.8408705001,822685.5227228568,0.4071108652838634,61.63875376666375,0.12399323925100435,-35.44967348352584,-0.07131097851608509,109840.2592121948,0.05653856794589267,-0.06529766476500931,-0.013253739408802048
2,1782.0,988527.763204,843632.5586284176,0.4670989174368239,106.27117777596405,0.191573009728091,-81.31044027810462,-0.1465767679664863,189375.23879676792,0.06831657513129501,1782.0,988527.763204,932465.5619616037,0.39992780914306103,79.57764158991763,0.14345308507432258,-31.460270057461457,-0.056712824190884,141807.35731323322,0.07299313534205115,-0.06717110829376288,-0.04811992465376841
3,1782.0,964712.016051,843632.5586284176,0.4741715880879911,95.57625352796708,0.17654686678830944,-67.94582346946265,-0.12550839567461292,170316.88378683734,0.06144132813391915,1782.0,964712.016051,900616.5248582561,0.39874639268339146,66.33724820711215,0.122537062188748,-35.968289109283866,-0.06644002575516322,118212.97630507385,0.060848294066740374,-0.07542519540459963,-0.05400980459956144
4,1782.0,728068.4851320001,843632.5586284176,0.5054342961122024,101.04135197867441,0.24730597863105336,64.85077076117707,0.15872692728276178,180055.6892259978,0.06495457430961098,1782.0,728068.4851320001,738391.6380942378,0.4005909496246901,58.07686264526574,0.14214729980394647,5.793015130324241,0.01417882132388426,103492.96923386355,0.053271398983564484,-0.10484334648751226,-0.10515867882710689
5,1782.0,827775.686128,843632.5586284176,0.5123286836418841,82.84027397804591,0.17833498942133813,8.898357183174832,0.019156001760077732,147621.3682288778,0.05325398588363295,1782.0,827775.686128,821862.0358392582,0.41833715777700564,63.909937611736524,0.13758257307222227,-3.318546738912374,-0.007144025111927928,113887.50882411448,0.05862182684220911,-0.09399152586487847,-0.04075241634911586
6,1782.0,965693.650492,843632.5586284176,0.4942726815900045,93.35148108809994,0.17226202037700175,-68.4966845474649,-0.1263973225892031,166352.3392989941,0.06001113006216508,1782.0,965693.650492,976254.0942088226,0.3856334464770067,67.29664937133806,0.1241828908356459,5.92617492526524,0.01093560438286223,119922.62917972443,0.06172831133828184,-0.10863923511299778,-0.04807912954135585
7,1782.0,1049559.1642770001,843632.5586284176,0.5430427852164579,146.96068787468283,0.24951804024605542,-115.55926242905862,-0.19620295135094865,261883.9457926848,0.09447388355573806,1782.0,1049559.1642770001,1050121.897234394,0.41028119221367365,68.28121336264465,0.11593164668906619,0.3157872937115726,0.0005361612537407615,121677.12221223276,0.06263140938484994,-0.13276159300278423,-0.13358639355698923
8,1782.0,797464.9638169999,843632.5586284176,0.5247489330082964,69.95846367035514,0.15632784876700975,25.907741196081677,0.05789294440026589,124665.98226057287,0.04497289612693797,1782.0,797464.9638169999,775794.7372598241,0.41518786563148147,52.7765350310572,0.11793343869954111,-12.160620963622888,-0.02717389169481894,94047.78542534393,0.04840963727297173,-0.10956106737681492,-0.038394410067468646
9,1782.0,717766.3491055,843632.5586284176,0.5435868237309514,111.72602688764334,0.27738243811777885,70.63199187593577,0.17535819236966935,199095.77991378042,0.07182323250507075,1782.0,717766.3491055,701573.8696641633,0.42208695962188847,49.595408391805115,0.1231306230284229,-9.086688799852261,-0.02255954108397003,88379.01775419671,0.045491727132888474,-0.12149986410906288,-0.15425181508935595
10,1782.0,734139.67401,843632.5586284176,0.5216088133225831,103.12300480390081,0.25031366791116666,61.44381852885383,0.1491444863895561,183765.19456055126,0.06629276773710507,1782.0,734139.67401,731109.3427641349,0.39835424937809005,48.70188356939703,0.11821559247250729,-1.7005225846605692,-0.004127731211300553,86786.75652066551,0.04467213538587974,-0.12325456394449308,-0.13209807543865937
11,1782.0,651386.9119697,843632.5586284176,0.5421933526550566,130.50021786430267,0.35700961127847275,107.88195659860693,0.29513280528986136,232551.38823418735,0.08389224740852953,1782.0,651386.9119697,649912.0452565632,0.40453691722670554,55.188316891713356,0.15097874841183156,-0.8276468648354429,-0.0022641945762726483,98345.5807010332,0.05062186065950501,-0.1376564354283511,-0.20603086286664118
12,1782.0,826373.722022,843632.5586284176,0.5507255547364632,92.80445476627517,0.20012439164794693,9.685093494061476,0.020885025922881512,165377.53839350236,0.05965947342679286,1782.0,826373.722022,875394.0445100609,0.4208031809354864,90.9156681766571,0.19605139463339546,27.508598478148702,0.05931979827252528,162011.72069080296,0.08339301767863078,-0.12992237380097682,-0.004072997014551466
13,1782.0,792630.5350784999,843632.5586284176,0.5382646256477389,88.04469177167222,0.19794296812143553,28.620664169426238,0.06434526717402644,156895.6407371199,0.05659965313465815,1782.0,792630.5350784999,902083.8085205292,0.4346333022399096,110.57233656687161,0.24858984740305384,61.42159003480873,0.13808864104786137,197039.90376216522,0.10142323103396768,-0.10363132340782932,0.05064687928161832
14,1782.0,865639.677471,843632.5586284176,0.5451769255744061,83.36993125509406,0.1716247780261375,-12.349673873503058,-0.025422955318865587,148565.21749657762,0.05359447680429988,1782.0,865639.677471,968631.1618095005,0.42790990831666204,95.50150726611798,0.19659875855670167,57.795445756734374,0.11897731471759031,170183.68594822224,0.08759940990923813,-0.11726701725774408,0.024973980530564183
15,1782.0,760922.4060808,843632.5586284176,0.5618328839462674,79.29699500758004,0.18570519671161143,46.41422701886507,0.1086972231158545,141307.24510350762,0.05097618404626855,1782.0,760922.4060808,747618.3932609432,0.45873261237050234,58.36221296339406,0.13667814572110867,-7.4657759931855665,-0.017484059758971066,104001.46350076821,0.05353313851209151,-0.10310027157576507,-0.04902705099050275
16,1782.0,762661.935939,843632.5586284176,0.5354722799645886,102.47707524367323,0.23944311296903603,45.4380598706047,0.1061684330551064,182614.1480842257,0.06587753101672318,1782.0,762661.935939,713556.6551002648,0.45680651148677553,63.47502307363136,0.14831275272437114,-27.556274320277943,-0.0643866941887903,113112.49111721109,0.05822289851123734,-0.07866576847781304,-0.09113036024466489
