segment,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline,segment_type
with_promotion,12481.0,12435885.501142,12553618.804278,0.558265,206.578569,0.207328,9.433002,0.009467,2578307.122503,0.930117,12481.0,12435885.501142,12460683.886354,0.354716,143.318191,0.143838,1.986891,0.001994,1788754.34674,0.920734,-0.20355,-0.06349,promotion
without_promotion,16031.0,883294.280506,944502.133776,0.49114,12.083941,0.219313,3.818093,0.069295,193717.652346,0.069883,16031.0,883294.280506,847387.446712,0.459208,9.606068,0.174342,-2.239837,-0.040651,153994.880961,0.079266,-0.031932,-0.044971,promotion
holiday_or_event,5346.0,2554729.308453,2530897.675885,0.527363,96.211004,0.20133,-4.457844,-0.009328,514344.025777,0.185548,5346.0,2554729.308453,2565204.793819,0.422082,73.89578,0.154634,1.9595,0.0041,395046.840988,0.203344,-0.10528,-0.046697,holiday
normal_day,23166.0,10764450.473195,10967223.262169,0.520246,97.45665,0.209735,8.753034,0.018837,2257680.749072,0.814452,23166.0,10764450.473195,10742866.539246,0.415453,66.80922,0.143779,-0.931707,-0.002005,1547702.386713,0.796656,-0.104793,-0.065956,holiday
